split_name,feature_setting,feature,group,correlation,monotonicity,robustness,total_score
cross_train_C1_C2_test_C3,selected_top30,v_abs_mean,time,0.7360150976162549,0.2043771912184033,0.9833548423526437,0.5480939095307532
cross_train_C1_C2_test_C3,selected_top30,v_rms,time,0.7282193770063021,0.19946346189273292,0.9827516927961528,0.5421702425398596
cross_train_C1_C2_test_C3,selected_top30,v_std,time,0.7284071036247901,0.19174307391366918,0.9828301060970447,0.5391837919875672
cross_train_C1_C2_test_C3,selected_top30,h_abs_mean,time,0.7369980718758751,0.17952669175308061,0.982013312538415,0.5385110438930113
cross_train_C1_C2_test_C3,selected_top30,h_wpt_l3_b2_rms,wavelet,0.7466001368326458,0.14713802331548975,0.975393684911759,0.5296946462336948
cross_train_C1_C2_test_C3,selected_top30,h_std,time,0.7267309088259961,0.17044474609531304,0.9804307672948939,0.5295864295806126
cross_train_C1_C2_test_C3,selected_top30,h_wpt_l3_b6_rms,wavelet,0.7380768327708478,0.15564982572306058,0.972488560788821,0.5285472027535302
cross_train_C1_C2_test_C3,selected_top30,h_rms,time,0.7266160895959446,0.1677222891264446,0.9801633984939534,0.5284133002979454
cross_train_C1_C2_test_C3,selected_top30,v_wpt_l3_b2_rms,wavelet,0.710834855086094,0.1861843563846464,0.9742191487678264,0.5273130849736882
cross_train_C1_C2_test_C3,selected_top30,v_wpt_l3_b7_rms,wavelet,0.7462276167072093,0.14151179347816306,0.9741680405624167,0.5271353298011116
cross_train_C1_C2_test_C3,selected_top30,v_wpt_l3_b1_rms,wavelet,0.7361112430205532,0.14023082243054208,0.967774247309094,0.5209253752134029
cross_train_C1_C2_test_C3,selected_top30,v_wpt_l3_b5_rms,wavelet,0.7454333822072539,0.1242886690567202,0.9766043803394492,0.5200925967602599
cross_train_C1_C2_test_C3,selected_top30,v_band_energy_5k_10k,frequency,0.6907951800344427,0.19517780080620903,0.9532099060320068,0.5187897009429057
cross_train_C1_C2_test_C3,selected_top30,v_wpt_l3_b4_rms,wavelet,0.7532894325677653,0.11145399906930117,0.9745570683719809,0.5186820227488012
cross_train_C1_C2_test_C3,selected_top30,h_wpt_l3_b4_rms,wavelet,0.7340313833519538,0.13390494139774411,0.969216636521979,0.5174993318872725
cross_train_C1_C2_test_C3,selected_top30,v_band_energy_10k_nyquist,frequency,0.7217766929245315,0.1503252852089984,0.9354404530252685,0.514562505848392
cross_train_C1_C2_test_C3,selected_top30,v_wpt_l3_b8_rms,wavelet,0.7353347672482305,0.12269865775752464,0.9664572222187349,0.5133925689489987
cross_train_C1_C2_test_C3,selected_top30,h_wpt_l3_b5_rms,wavelet,0.7278229939460199,0.12323898429951141,0.9690326354715235,0.5101103542399669
cross_train_C1_C2_test_C3,selected_top30,v_wpt_l3_b6_rms,wavelet,0.7254218732939837,0.12163221965486301,0.9760160499087038,0.5089654294998074
cross_train_C1_C2_test_C3,selected_top30,h_wpt_l3_b8_rms,wavelet,0.7364247017610385,0.10286785618985952,0.9702695877950525,0.5063864521359683
cross_train_C1_C2_test_C3,selected_top30,v_band_ratio_2k_5k,frequency,0.7360676007752882,0.1053212354548406,0.9542844206531478,0.5055907366348952
cross_train_C1_C2_test_C3,selected_top30,v_wpt_l3_b3_rms,wavelet,0.7048794581528797,0.13492372420959975,0.9737784060930103,0.5037870593695808
cross_train_C1_C2_test_C3,selected_top30,h_wpt_l3_b7_rms,wavelet,0.7261999535181461,0.0929629640919189,0.9701129634762039,0.497296458743461
cross_train_C1_C2_test_C3,selected_top30,h_band_energy_5k_10k,frequency,0.6861794741481813,0.14686260780164137,0.9532443523484055,0.49715921542958774
cross_train_C1_C2_test_C3,selected_top30,v_wav_cd1_energy,wavelet,0.6667135134831056,0.17070947581006685,0.9519470260102182,0.49683524966660136
cross_train_C1_C2_test_C3,selected_top30,v_wav_cd1_var,wavelet,0.6667097557965027,0.16660710109300625,0.951944482520891,0.49519216658754295
cross_train_C1_C2_test_C3,selected_top30,h_wpt_l3_b1_rms,wavelet,0.7090656973470625,0.10922550811673509,0.9644698182840348,0.4946700337486288
cross_train_C1_C2_test_C3,selected_top30,h_wpt_l3_b3_rms,wavelet,0.6933859271458873,0.11689655768596378,0.966546130053776,0.49010619965270674
cross_train_C1_C2_test_C3,selected_top30,h_peak_to_peak,time,0.7259034724705391,0.08111668757440257,0.9141081587899653,0.4868092271440271
cross_train_C1_C2_test_C3,selected_top30,h_band_energy_10k_nyquist,frequency,0.6948642301100934,0.11981522284423735,0.9059541682775436,0.48595362102049594
cross_train_C1_C2_test_C3,selected_top60,v_abs_mean,time,0.7360150976162549,0.2043771912184033,0.9833548423526437,0.5480939095307532
cross_train_C1_C2_test_C3,selected_top60,v_rms,time,0.7282193770063021,0.19946346189273292,0.9827516927961528,0.5421702425398596
cross_train_C1_C2_test_C3,selected_top60,v_std,time,0.7284071036247901,0.19174307391366918,0.9828301060970447,0.5391837919875672
cross_train_C1_C2_test_C3,selected_top60,h_abs_mean,time,0.7369980718758751,0.17952669175308061,0.982013312538415,0.5385110438930113
cross_train_C1_C2_test_C3,selected_top60,h_wpt_l3_b2_rms,wavelet,0.7466001368326458,0.14713802331548975,0.975393684911759,0.5296946462336948
cross_train_C1_C2_test_C3,selected_top60,h_std,time,0.7267309088259961,0.17044474609531304,0.9804307672948939,0.5295864295806126
cross_train_C1_C2_test_C3,selected_top60,h_wpt_l3_b6_rms,wavelet,0.7380768327708478,0.15564982572306058,0.972488560788821,0.5285472027535302
cross_train_C1_C2_test_C3,selected_top60,h_rms,time,0.7266160895959446,0.1677222891264446,0.9801633984939534,0.5284133002979454
cross_train_C1_C2_test_C3,selected_top60,v_wpt_l3_b2_rms,wavelet,0.710834855086094,0.1861843563846464,0.9742191487678264,0.5273130849736882
cross_train_C1_C2_test_C3,selected_top60,v_wpt_l3_b7_rms,wavelet,0.7462276167072093,0.14151179347816306,0.9741680405624167,0.5271353298011116
cross_train_C1_C2_test_C3,selected_top60,v_wpt_l3_b1_rms,wavelet,0.7361112430205532,0.14023082243054208,0.967774247309094,0.5209253752134029
cross_train_C1_C2_test_C3,selected_top60,v_wpt_l3_b5_rms,wavelet,0.7454333822072539,0.1242886690567202,0.9766043803394492,0.5200925967602599
cross_train_C1_C2_test_C3,selected_top60,v_band_energy_5k_10k,frequency,0.6907951800344427,0.19517780080620903,0.9532099060320068,0.5187897009429057
cross_train_C1_C2_test_C3,selected_top60,v_wpt_l3_b4_rms,wavelet,0.7532894325677653,0.11145399906930117,0.9745570683719809,0.5186820227488012
cross_train_C1_C2_test_C3,selected_top60,h_wpt_l3_b4_rms,wavelet,0.7340313833519538,0.13390494139774411,0.969216636521979,0.5174993318872725
cross_train_C1_C2_test_C3,selected_top60,v_band_energy_10k_nyquist,frequency,0.7217766929245315,0.1503252852089984,0.9354404530252685,0.514562505848392
cross_train_C1_C2_test_C3,selected_top60,v_wpt_l3_b8_rms,wavelet,0.7353347672482305,0.12269865775752464,0.9664572222187349,0.5133925689489987
cross_train_C1_C2_test_C3,selected_top60,h_wpt_l3_b5_rms,wavelet,0.7278229939460199,0.12323898429951141,0.9690326354715235,0.5101103542399669
cross_train_C1_C2_test_C3,selected_top60,v_wpt_l3_b6_rms,wavelet,0.7254218732939837,0.12163221965486301,0.9760160499087038,0.5089654294998074
cross_train_C1_C2_test_C3,selected_top60,h_wpt_l3_b8_rms,wavelet,0.7364247017610385,0.10286785618985952,0.9702695877950525,0.5063864521359683
cross_train_C1_C2_test_C3,selected_top60,v_band_ratio_2k_5k,frequency,0.7360676007752882,0.1053212354548406,0.9542844206531478,0.5055907366348952
cross_train_C1_C2_test_C3,selected_top60,v_wpt_l3_b3_rms,wavelet,0.7048794581528797,0.13492372420959975,0.9737784060930103,0.5037870593695808
cross_train_C1_C2_test_C3,selected_top60,h_wpt_l3_b7_rms,wavelet,0.7261999535181461,0.0929629640919189,0.9701129634762039,0.497296458743461
cross_train_C1_C2_test_C3,selected_top60,h_band_energy_5k_10k,frequency,0.6861794741481813,0.14686260780164137,0.9532443523484055,0.49715921542958774
cross_train_C1_C2_test_C3,selected_top60,v_wav_cd1_energy,wavelet,0.6667135134831056,0.17070947581006685,0.9519470260102182,0.49683524966660136
cross_train_C1_C2_test_C3,selected_top60,v_wav_cd1_var,wavelet,0.6667097557965027,0.16660710109300625,0.951944482520891,0.49519216658754295
cross_train_C1_C2_test_C3,selected_top60,h_wpt_l3_b1_rms,wavelet,0.7090656973470625,0.10922550811673509,0.9644698182840348,0.4946700337486288
cross_train_C1_C2_test_C3,selected_top60,h_wpt_l3_b3_rms,wavelet,0.6933859271458873,0.11689655768596378,0.966546130053776,0.49010619965270674
cross_train_C1_C2_test_C3,selected_top60,h_peak_to_peak,time,0.7259034724705391,0.08111668757440257,0.9141081587899653,0.4868092271440271
cross_train_C1_C2_test_C3,selected_top60,h_band_energy_10k_nyquist,frequency,0.6948642301100934,0.11981522284423735,0.9059541682775436,0.48595362102049594
cross_train_C1_C2_test_C3,selected_top60,v_max_abs,time,0.719639502975234,0.08473261049765703,0.9209792227780278,0.4858107179644826
cross_train_C1_C2_test_C3,selected_top60,v_spectral_energy,frequency,0.6152549398706297,0.20210358470021128,0.9589778282532494,0.48436668664072435
cross_train_C1_C2_test_C3,selected_top60,v_wpt_l3_b5_energy,wavelet,0.6788964300698974,0.1242886690567202,0.9508831718194641,0.4842519998395832
cross_train_C1_C2_test_C3,selected_top60,v_peak_to_peak,time,0.720137245228361,0.07699927089115083,0.9300949190900086,0.4838778228796417
cross_train_C1_C2_test_C3,selected_top60,v_energy,time,0.615326933248613,0.19946346189273292,0.9591769765343698,0.48336654903483667
cross_train_C1_C2_test_C3,selected_top60,v_min,time,0.7154696943267049,0.0782888250892192,0.9129942282344152,0.4803498000224816
cross_train_C1_C2_test_C3,selected_top60,v_wpt_l3_b7_energy,wavelet,0.6547060193459929,0.14151179347816306,0.9422376700950998,0.47818149407377164
cross_train_C1_C2_test_C3,selected_top60,v_max,time,0.7148531186882275,0.07086472322574097,0.9191026104145166,0.47768270967586185
cross_train_C1_C2_test_C3,selected_top60,h_wpt_l3_b6_energy_ratio,wavelet,0.7191698033355789,0.054283902782035265,0.9598609221018183,0.47728455499078537
cross_train_C1_C2_test_C3,selected_top60,v_wpt_l3_b4_energy,wavelet,0.6698189170931241,0.11145399906930117,0.9469236095737201,0.4741834191316545
cross_train_C1_C2_test_C3,selected_top60,h_max_abs,time,0.7208911536552043,0.05640778643567836,0.9022082657940775,0.47322951798128127
cross_train_C1_C2_test_C3,selected_top60,h_wpt_l3_b2_energy,wavelet,0.6378578307975589,0.14713802331548975,0.9456525514698422,0.4723493798719596
cross_train_C1_C2_test_C3,selected_top60,h_wav_cd3_energy,wavelet,0.6378578307975589,0.14713802331548975,0.9456525514698422,0.4723493798719596
cross_train_C1_C2_test_C3,selected_top60,h_energy,time,0.6169948827505197,0.1677222891264446,0.950115148323645,0.47059787185820223
cross_train_C1_C2_test_C3,selected_top60,v_band_energy_0_2k,frequency,0.6022282617751225,0.18279478568953955,0.9531063609646336,0.46954268125984044
cross_train_C1_C2_test_C3,selected_top60,v_wpt_l3_b8_energy,wavelet,0.6560278799015199,0.12269865775752464,0.923381662561449,0.4694315693099147
cross_train_C1_C2_test_C3,selected_top60,h_spectral_energy,frequency,0.6170150654129714,0.16502896573607606,0.9486359728804099,0.4693827162889571
cross_train_C1_C2_test_C3,selected_top60,h_wpt_l3_b6_energy,wavelet,0.6272882270220548,0.15564982572306058,0.9327352829823203,0.46917757209848365
cross_train_C1_C2_test_C3,selected_top60,h_wav_cd1_energy,wavelet,0.6256637900809712,0.15225184347057,0.941045738196066,0.46783720624832015
cross_train_C1_C2_test_C3,selected_top60,h_min,time,0.7200896600688109,0.04296043008229109,0.8999129580988335,0.46722029787720526
cross_train_C1_C2_test_C3,selected_top60,h_max,time,0.7172147071039954,0.047443997557160986,0.8959134679972159,0.46717629937458366
cross_train_C1_C2_test_C3,selected_top60,v_wpt_l3_b6_energy,wavelet,0.6452128541263467,0.12163221965486301,0.9458353911284498,0.46584285403796355
cross_train_C1_C2_test_C3,selected_top60,h_wav_cd1_var,wavelet,0.6256543192711734,0.14695211567633465,0.9410221992520797,0.4657102258313286
cross_train_C1_C2_test_C3,selected_top60,h_wav_cd3_var,wavelet,0.6370770918334616,0.12924834981808328,0.9445155990663892,0.464689445750603
cross_train_C1_C2_test_C3,selected_top60,v_wav_cd3_var,wavelet,0.5813968462336241,0.19017552238817423,0.9422949070319089,0.46099812277527263
cross_train_C1_C2_test_C3,selected_top60,h_band_ratio_5k_10k,frequency,0.6804700665453629,0.06134851390714715,0.9576806879367293,0.4605425076292133
cross_train_C1_C2_test_C3,selected_top60,v_wpt_l3_b1_energy,wavelet,0.6225191826557654,0.14023082243054208,0.9302443712279178,0.46037635742289135
cross_train_C1_C2_test_C3,selected_top60,v_wav_ca3_energy,wavelet,0.6225191826557654,0.14023082243054208,0.9302443712279178,0.46037635742289135
cross_train_C1_C2_test_C3,selected_top60,v_wpt_l3_b8_energy_ratio,wavelet,0.7190904204636268,0.01866657303280994,0.9329647721215966,0.46030831665709704
cross_train_C1_C2_test_C3,selected_top60,v_wav_cd3_energy,wavelet,0.5816537289423619,0.1861843563846464,0.942043631260449,0.45950497015108444
cross_train_C1_C3_test_C2,selected_top30,v_band_ratio_2k_5k,frequency,0.745333160384781,0.068384804306845,0.9593546571441063,0.49595596762953914
cross_train_C1_C3_test_C2,selected_top30,h_band_ratio_2k_5k,frequency,0.7077243782686765,0.056540328850640975,0.9585923144508408,0.4723375521196787
cross_train_C1_C3_test_C2,selected_top30,v_band_ratio_5k_10k,frequency,0.709789850226394,0.028857729141546575,0.9552240300527584,0.4619604197750915
cross_train_C1_C3_test_C2,selected_top30,h_band_ratio_5k_10k,frequency,0.6791526731974469,0.0409866690146967,0.9666296399894132,0.4526339682035434
cross_train_C1_C3_test_C2,selected_top30,v_abs_mean,time,0.5891815589961605,0.1407922025954004,0.9818532572629555,0.449092986262536
cross_train_C1_C3_test_C2,selected_top30,v_wpt_l3_b7_energy_ratio,wavelet,0.6815483190813703,0.02779642285607445,0.9509021843851491,0.4469829471216298
cross_train_C1_C3_test_C2,selected_top30,h_abs_mean,time,0.5968213158655097,0.11702008031097932,0.9799651834880858,0.44321520840595513
cross_train_C1_C3_test_C2,selected_top30,h_band_ratio_0_2k,frequency,0.6605845931070076,0.04141047415804507,0.9620482027482382,0.4430613064915456
cross_train_C1_C3_test_C2,selected_top30,v_wpt_l3_b2_energy_ratio,wavelet,0.6656835740453457,0.03269971212007844,0.9657435297308259,0.4424960248437868
cross_train_C1_C3_test_C2,selected_top30,v_rms,time,0.5757367169975037,0.13716820553408735,0.9813210882905989,0.4408677495414467
cross_train_C1_C3_test_C2,selected_top30,v_band_ratio_0_2k,frequency,0.6473079704536822,0.047187730367230105,0.9787036390830762,0.4403994412820407
cross_train_C1_C3_test_C2,selected_top30,h_std,time,0.5850774181746239,0.11995204527560185,0.9784761616844064,0.43836714336599336
cross_train_C1_C3_test_C2,selected_top30,h_rms,time,0.585010615481089,0.1163494559158662,0.978241875383499,0.4368692776452409
cross_train_C1_C3_test_C2,selected_top30,v_wpt_l3_b1_rms,wavelet,0.6120927225310914,0.08439700654961786,0.9694674632804168,0.4367519102134345
cross_train_C1_C3_test_C2,selected_top30,v_std,time,0.5759028360457249,0.12582064282043653,0.9814043916759981,0.4364201143186369
cross_train_C1_C3_test_C2,selected_top30,h_wpt_l3_b6_rms,wavelet,0.5948879897000408,0.0990986690634145,0.9701994437889832,0.4341034068542845
cross_train_C1_C3_test_C2,selected_top30,v_spectral_entropy,frequency,0.6491806513929523,0.024939388044951966,0.9870333803720311,0.43326941895166005
cross_train_C1_C3_test_C2,selected_top30,v_wpt_l3_b2_rms,wavelet,0.5704230742157147,0.11928448212913094,0.9702153545369618,0.4299468654132059
cross_train_C1_C3_test_C2,selected_top30,h_wpt_l3_b2_rms,wavelet,0.6008227254239167,0.07959916699890068,0.9725493066064158,0.42950596017216025
cross_train_C1_C3_test_C2,selected_top30,h_wpt_l3_b8_energy_ratio,wavelet,0.6487096917929192,0.02594087295545787,0.9470320040037896,0.42943439547902174
cross_train_C1_C3_test_C2,selected_top30,h_wpt_l3_b4_rms,wavelet,0.6049620162025063,0.07371784558579894,0.9705913700952982,0.4290272833451026
cross_train_C1_C3_test_C2,selected_top30,v_wpt_l3_b7_rms,wavelet,0.5983889277068675,0.0795548358734207,0.9701617769844476,0.4280325759012468
cross_train_C1_C3_test_C2,selected_top30,h_wpt_l3_b5_rms,wavelet,0.6030727433101801,0.07220304422672548,0.9721250811113546,0.4276300974569157
cross_train_C1_C3_test_C2,selected_top30,v_wpt_l3_b5_rms,wavelet,0.5957286709473167,0.0802061271788087,0.975106603311938,0.4274574466763757
cross_train_C1_C3_test_C2,selected_top30,v_wpt_l3_b6_rms,wavelet,0.58679490845935,0.09017172020850431,0.9738745521937653,0.4268535975324533
cross_train_C1_C3_test_C2,selected_top30,v_band_energy_10k_nyquist,frequency,0.6018703356614536,0.0794803422103047,0.9395889481458819,0.42668619952943687
cross_train_C1_C3_test_C2,selected_top30,h_wpt_l3_b7_energy_ratio,wavelet,0.6341764426783945,0.03604551098088039,0.9517345418313123,0.4266798799146806
cross_train_C1_C3_test_C2,selected_top30,v_wpt_l3_b8_energy_ratio,wavelet,0.654399319427448,0.011993732570696608,0.9397802173423448,0.4259751744762371
cross_train_C1_C3_test_C2,selected_top30,v_wpt_l3_b8_rms,wavelet,0.5953237054784293,0.06762872574786831,0.9644944373823894,0.4211627867766009
cross_train_C1_C3_test_C2,selected_top30,v_band_energy_5k_10k,frequency,0.559895610956527,0.11402811101321744,0.9413638650553495,0.4196954363890854
cross_train_C1_C3_test_C2,selected_top60,v_band_ratio_2k_5k,frequency,0.745333160384781,0.068384804306845,0.9593546571441063,0.49595596762953914
cross_train_C1_C3_test_C2,selected_top60,h_band_ratio_2k_5k,frequency,0.7077243782686765,0.056540328850640975,0.9585923144508408,0.4723375521196787
cross_train_C1_C3_test_C2,selected_top60,v_band_ratio_5k_10k,frequency,0.709789850226394,0.028857729141546575,0.9552240300527584,0.4619604197750915
cross_train_C1_C3_test_C2,selected_top60,h_band_ratio_5k_10k,frequency,0.6791526731974469,0.0409866690146967,0.9666296399894132,0.4526339682035434
cross_train_C1_C3_test_C2,selected_top60,v_abs_mean,time,0.5891815589961605,0.1407922025954004,0.9818532572629555,0.449092986262536
cross_train_C1_C3_test_C2,selected_top60,v_wpt_l3_b7_energy_ratio,wavelet,0.6815483190813703,0.02779642285607445,0.9509021843851491,0.4469829471216298
cross_train_C1_C3_test_C2,selected_top60,h_abs_mean,time,0.5968213158655097,0.11702008031097932,0.9799651834880858,0.44321520840595513
cross_train_C1_C3_test_C2,selected_top60,h_band_ratio_0_2k,frequency,0.6605845931070076,0.04141047415804507,0.9620482027482382,0.4430613064915456
cross_train_C1_C3_test_C2,selected_top60,v_wpt_l3_b2_energy_ratio,wavelet,0.6656835740453457,0.03269971212007844,0.9657435297308259,0.4424960248437868
cross_train_C1_C3_test_C2,selected_top60,v_rms,time,0.5757367169975037,0.13716820553408735,0.9813210882905989,0.4408677495414467
cross_train_C1_C3_test_C2,selected_top60,v_band_ratio_0_2k,frequency,0.6473079704536822,0.047187730367230105,0.9787036390830762,0.4403994412820407
cross_train_C1_C3_test_C2,selected_top60,h_std,time,0.5850774181746239,0.11995204527560185,0.9784761616844064,0.43836714336599336
cross_train_C1_C3_test_C2,selected_top60,h_rms,time,0.585010615481089,0.1163494559158662,0.978241875383499,0.4368692776452409
cross_train_C1_C3_test_C2,selected_top60,v_wpt_l3_b1_rms,wavelet,0.6120927225310914,0.08439700654961786,0.9694674632804168,0.4367519102134345
cross_train_C1_C3_test_C2,selected_top60,v_std,time,0.5759028360457249,0.12582064282043653,0.9814043916759981,0.4364201143186369
