feature_setting,split_name,model,params,val_mae,val_rmse,val_spearman,best_epoch,num_features
selected_top30,cross_train_C1_C2_test_C3,Ridge,"{""alpha"": 100.0}",0.26865931583600366,0.31888648356693716,0.8529111151625028,,30
selected_top30,cross_train_C1_C2_test_C3,LSTM,"{""dropout"": 0.1, ""hidden_dim"": 64, ""lr"": 0.001, ""num_layers"": 1, ""weight_decay"": 0.0001}",0.09920134520504434,0.11550873119234932,0.978132645918288,1,30
selected_top30,cross_train_C1_C2_test_C3,TCN,"{""dropout"": 0.1, ""hidden_dim"": 64, ""kernel_size"": 3, ""levels"": 2, ""lr"": 0.001, ""weight_decay"": 0.0001}",0.11727136442885519,0.13050672743447822,0.9750800564450717,1,30
selected_top30,cross_train_C1_C2_test_C3,Transformer,"{""d_model"": 64, ""dim_feedforward"": 128, ""dropout"": 0.1, ""lr"": 0.0005, ""nhead"": 4, ""num_layers"": 2, ""weight_decay"": 0.0001}",0.09949832670593586,0.11554645140035155,0.8981954243936043,15,30
selected_top30,cross_train_C1_C2_test_C3,latent_ode,"{""latent_dim"": 8, ""lr"": 0.001, ""smooth_weight"": 0.0001, ""weight_decay"": 0.0001}",0.313871610974296,0.3380518516286295,0.15406782297581084,1,30
selected_top30,cross_train_C1_C3_test_C2,Ridge,"{""alpha"": 0.01}",0.3506566621422863,0.4102476470016332,0.4783232192519723,,30
selected_top30,cross_train_C1_C3_test_C2,LSTM,"{""dropout"": 0.1, ""hidden_dim"": 64, ""lr"": 0.001, ""num_layers"": 1, ""weight_decay"": 0.0001}",0.16965385804478172,0.21592528333846234,0.955348506401138,2,30
selected_top30,cross_train_C1_C3_test_C2,TCN,"{""dropout"": 0.1, ""hidden_dim"": 64, ""kernel_size"": 3, ""levels"": 2, ""lr"": 0.001, ""weight_decay"": 0.0001}",0.1683240911812008,0.19918423890538162,0.9753466306097884,2,30
selected_top30,cross_train_C1_C3_test_C2,Transformer,"{""d_model"": 64, ""dim_feedforward"": 128, ""dropout"": 0.1, ""lr"": 0.0005, ""nhead"": 4, ""num_layers"": 2, ""weight_decay"": 0.0001}",0.18413255720662,0.2107174365508474,0.4546050677629625,1,30
selected_top30,cross_train_C1_C3_test_C2,latent_ode,"{""latent_dim"": 8, ""lr"": 0.001, ""smooth_weight"": 0.0001, ""weight_decay"": 0.0001}",0.19086961437685368,0.22167043158889016,0.45474622106201057,7,30
selected_top30,cross_train_C2_C3_test_C1,Ridge,"{""alpha"": 100.0}",0.27407915051195103,0.31909874815888983,0.7521505255810421,,30
selected_top30,cross_train_C2_C3_test_C1,LSTM,"{""dropout"": 0.1, ""hidden_dim"": 64, ""lr"": 0.001, ""num_layers"": 1, ""weight_decay"": 0.0001}",0.18865885503124447,0.2278519944329119,0.7399248107656389,2,30
selected_top30,cross_train_C2_C3_test_C1,TCN,"{""dropout"": 0.1, ""hidden_dim"": 64, ""kernel_size"": 3, ""levels"": 2, ""lr"": 0.001, ""weight_decay"": 0.0001}",0.21744315129696284,0.2560318439879295,0.9026930278678456,1,30
selected_top30,cross_train_C2_C3_test_C1,Transformer,"{""d_model"": 64, ""dim_feedforward"": 128, ""dropout"": 0.1, ""lr"": 0.0005, ""nhead"": 4, ""num_layers"": 2, ""weight_decay"": 0.0001}",0.18810731228596222,0.22630681308839812,0.9370774685547714,5,30
selected_top30,cross_train_C2_C3_test_C1,latent_ode,"{""latent_dim"": 8, ""lr"": 0.001, ""smooth_weight"": 0.0001, ""weight_decay"": 0.0001}",0.20100715935075034,0.23434554955517994,0.9341891099248345,1,30
selected_top60,cross_train_C1_C2_test_C3,Ridge,"{""alpha"": 100.0}",0.20617132572729174,0.2456270635649997,0.9160814741158363,,60
selected_top60,cross_train_C1_C2_test_C3,LSTM,"{""dropout"": 0.1, ""hidden_dim"": 64, ""lr"": 0.001, ""num_layers"": 1, ""weight_decay"": 0.0001}",0.06658101830070313,0.07826804348129214,0.976764630718119,4,60
selected_top60,cross_train_C1_C2_test_C3,TCN,"{""dropout"": 0.1, ""hidden_dim"": 64, ""kernel_size"": 3, ""levels"": 2, ""lr"": 0.001, ""weight_decay"": 0.0001}",0.08917375678142819,0.10646542172427889,0.9760904010044555,3,60
selected_top60,cross_train_C1_C2_test_C3,Transformer,"{""d_model"": 64, ""dim_feedforward"": 128, ""dropout"": 0.1, ""lr"": 0.0005, ""nhead"": 4, ""num_layers"": 2, ""weight_decay"": 0.0001}",0.13903797313869476,0.14880505518155202,0.9466234069267436,2,60
selected_top60,cross_train_C1_C2_test_C3,latent_ode,"{""latent_dim"": 8, ""lr"": 0.001, ""smooth_weight"": 0.0001, ""weight_decay"": 0.0001}",0.28136622616689866,0.3015557050639424,0.6859041767130745,1,60
selected_top60,cross_train_C1_C3_test_C2,Ridge,"{""alpha"": 100.0}",0.3841673609308582,0.4556146215896415,0.32058501135783946,,60
selected_top60,cross_train_C1_C3_test_C2,LSTM,"{""dropout"": 0.1, ""hidden_dim"": 64, ""lr"": 0.001, ""num_layers"": 1, ""weight_decay"": 0.0001}",0.16485224860123335,0.19871894144742566,0.6242636737373579,1,60
selected_top60,cross_train_C1_C3_test_C2,TCN,"{""dropout"": 0.1, ""hidden_dim"": 64, ""kernel_size"": 3, ""levels"": 2, ""lr"": 0.001, ""weight_decay"": 0.0001}",0.19118076673480178,0.22055894846297902,0.9681915808231598,1,60
selected_top60,cross_train_C1_C3_test_C2,Transformer,"{""d_model"": 64, ""dim_feedforward"": 128, ""dropout"": 0.1, ""lr"": 0.0005, ""nhead"": 4, ""num_layers"": 2, ""weight_decay"": 0.0001}",0.14179544164679753,0.17207989286037959,0.9385471995998311,1,60
selected_top60,cross_train_C1_C3_test_C2,latent_ode,"{""latent_dim"": 8, ""lr"": 0.001, ""smooth_weight"": 0.0001, ""weight_decay"": 0.0001}",0.16453150500185215,0.19717640236237602,0.30793381582855267,4,60
selected_top60,cross_train_C2_C3_test_C1,Ridge,"{""alpha"": 100.0}",0.3099381787983096,0.36160816587389616,0.6667182089446413,,60
selected_top60,cross_train_C2_C3_test_C1,LSTM,"{""dropout"": 0.1, ""hidden_dim"": 64, ""lr"": 0.001, ""num_layers"": 1, ""weight_decay"": 0.0001}",0.20638150183639178,0.23926114673647403,0.2635929899774293,1,60
selected_top60,cross_train_C2_C3_test_C1,TCN,"{""dropout"": 0.1, ""hidden_dim"": 64, ""kernel_size"": 3, ""levels"": 2, ""lr"": 0.001, ""weight_decay"": 0.0001}",0.22480659515050017,0.25563856458577067,0.9801037471619133,1,60
selected_top60,cross_train_C2_C3_test_C1,Transformer,"{""d_model"": 64, ""dim_feedforward"": 128, ""dropout"": 0.1, ""lr"": 0.0005, ""nhead"": 4, ""num_layers"": 2, ""weight_decay"": 0.0001}",0.21990931896648058,0.2576382625970837,0.7855559272296007,4,60
selected_top60,cross_train_C2_C3_test_C1,latent_ode,"{""latent_dim"": 8, ""lr"": 0.001, ""smooth_weight"": 0.0001, ""weight_decay"": 0.0001}",0.20785669636990256,0.24253419842631604,0.8705886771588437,2,60
selected_top90,cross_train_C1_C2_test_C3,Ridge,"{""alpha"": 100.0}",0.25554220115004933,0.3024479606744408,0.8621464786790249,,90
selected_top90,cross_train_C1_C2_test_C3,LSTM,"{""dropout"": 0.1, ""hidden_dim"": 64, ""lr"": 0.001, ""num_layers"": 1, ""weight_decay"": 0.0001}",0.11086095013596022,0.12956837876657146,0.909283992044356,1,90
selected_top90,cross_train_C1_C2_test_C3,TCN,"{""dropout"": 0.1, ""hidden_dim"": 64, ""kernel_size"": 3, ""levels"": 2, ""lr"": 0.001, ""weight_decay"": 0.0001}",0.11051737989283421,0.12548890108054875,0.971961355126168,1,90
selected_top90,cross_train_C1_C2_test_C3,Transformer,"{""d_model"": 64, ""dim_feedforward"": 128, ""dropout"": 0.1, ""lr"": 0.0005, ""nhead"": 4, ""num_layers"": 2, ""weight_decay"": 0.0001}",0.17848073012088067,0.19368771067794827,0.8348862765141835,1,90
selected_top90,cross_train_C1_C2_test_C3,latent_ode,"{""latent_dim"": 8, ""lr"": 0.001, ""smooth_weight"": 0.0001, ""weight_decay"": 0.0001}",0.36016181542914216,0.37970735806043077,0.33431527016966855,1,90
selected_top90,cross_train_C1_C3_test_C2,Ridge,"{""alpha"": 100.0}",0.33516778569642136,0.40921105426886983,0.5184545706367591,,90
selected_top90,cross_train_C1_C3_test_C2,LSTM,"{""dropout"": 0.1, ""hidden_dim"": 64, ""lr"": 0.001, ""num_layers"": 1, ""weight_decay"": 0.0001}",0.16691210736544468,0.19611447637660717,0.6650594782173729,2,90
selected_top90,cross_train_C1_C3_test_C2,TCN,"{""dropout"": 0.1, ""hidden_dim"": 64, ""kernel_size"": 3, ""levels"": 2, ""lr"": 0.001, ""weight_decay"": 0.0001}",0.18986997311757034,0.22104352506481248,0.9627577259156206,5,90
selected_top90,cross_train_C1_C3_test_C2,Transformer,"{""d_model"": 64, ""dim_feedforward"": 128, ""dropout"": 0.1, ""lr"": 0.0005, ""nhead"": 4, ""num_layers"": 2, ""weight_decay"": 0.0001}",0.19308574271985354,0.22853794303115071,0.5427577259156207,2,90
selected_top90,cross_train_C1_C3_test_C2,latent_ode,"{""latent_dim"": 8, ""lr"": 0.001, ""smooth_weight"": 0.0001, ""weight_decay"": 0.0001}",0.4167606351149674,0.44635585220850443,0.11837290732027575,7,90
selected_top90,cross_train_C2_C3_test_C1,Ridge,"{""alpha"": 100.0}",0.3240553798444484,0.3731857069145515,0.39429630259581216,,90
selected_top90,cross_train_C2_C3_test_C1,LSTM,"{""dropout"": 0.1, ""hidden_dim"": 64, ""lr"": 0.001, ""num_layers"": 1, ""weight_decay"": 0.0001}",0.19579663817615559,0.23682563259223385,0.0171677452019105,1,90
selected_top90,cross_train_C2_C3_test_C1,TCN,"{""dropout"": 0.1, ""hidden_dim"": 64, ""kernel_size"": 3, ""levels"": 2, ""lr"": 0.001, ""weight_decay"": 0.0001}",0.2418672693019956,0.27481959489232843,0.961971928817227,2,90
selected_top90,cross_train_C2_C3_test_C1,Transformer,"{""d_model"": 64, ""dim_feedforward"": 128, ""dropout"": 0.1, ""lr"": 0.0005, ""nhead"": 4, ""num_layers"": 2, ""weight_decay"": 0.0001}",0.18747838927588117,0.23093443477189773,0.22413504547079127,1,90
selected_top90,cross_train_C2_C3_test_C1,latent_ode,"{""latent_dim"": 8, ""lr"": 0.001, ""smooth_weight"": 0.0001, ""weight_decay"": 0.0001}",0.1984143711787571,0.23021189395115954,0.9534288590246229,2,90
